TIME,TEMPERATURE,HUMIDITY,PRESSURE,FOREX
2018-12-23 21:10:00,3.705,0.91,1020.505,1.2644038333333334
2018-12-23 21:20:00,3.6933333333333334,0.91,1020.65,1.2651022
2018-12-23 21:30:00,3.69,0.9025,1020.85,1.264990175
2018-12-23 21:40:00,4.173333333333333,0.9,1021.0500000000001,1.2655291
2018-12-23 21:50:00,5.096666666666667,0.9,1021.2266666666668,1.2652783
2018-12-23 22:00:00,5.0225,0.9,1021.425,1.2652583000000002
2018-12-23 22:10:00,4.99,0.9,1021.6266666666667,1.2647981333333334
2018-12-23 22:20:00,4.96,0.89,1021.8000000000001,1.2647928666666668
2018-12-23 22:30:00,4.925000000000001,0.89,1022.0,1.26482215
2018-12-23 22:40:00,4.926666666666667,0.9,1022.2000000000002,1.2650541333333334
2018-12-23 22:50:00,4.98,0.92,1022.3699999999999,1.2647875
2018-12-23 23:00:00,4.9675,0.9175000000000001,1022.5649999999999,1.264334425
2018-12-23 23:10:00,4.956666666666667,0.91,1022.7466666666666,1.2647128666666667
2018-12-23 23:20:00,4.94,0.91,1022.9,1.2643982999999999
2018-12-23 23:30:00,4.9275,0.89,1023.0849999999999,1.264362375
2018-12-23 23:40:00,5.21,0.87,1023.2633333333333,1.2643930333333333
2018-12-23 23:50:00,5.21,0.8666666666666667,1023.4200000000001,1.2647715
2018-12-24 00:00:00,5.205,0.87,1023.8625,1.26512215
2018-12-24 00:10:00,5.163333333333333,0.88,1024.2933333333333,1.2653262666666667
2018-12-24 00:20:00,5.11,0.88,1024.426666666667,1.2652355333333334
2018-12-24 00:30:00,5.047499999999999,0.87,1024.58,1.2652503
2018-12-24 00:40:00,5.25,0.89,1024.7366666666667,1.2656519000000002
2018-12-24 00:50:00,5.233333333333333,0.89,1024.87,1.2656625666666665
2018-12-24 01:00:00,5.1899999999999995,0.89,1025.02,1.26567865
2018-12-24 01:10:00,5.126666666666666,0.88,1025.1666666666667,1.2657853666666667
2018-12-24 01:20:00,5.07,0.88,1025.29,1.2655558333333334
2018-12-24 01:30:00,5.0,0.88,1025.435,1.265750625
2018-12-24 01:40:00,5.023333333333333,0.8766666666666666,1025.58,1.2658548333333333
2018-12-24 01:50:00,5.173333333333333,0.88,1025.7033333333334,1.2659029000000002
2018-12-24 02:00:00,5.130000000000001,0.88,1025.85,1.2658308
2018-12-24 02:10:00,5.06,0.88,1025.99,1.2659563
2018-12-24 02:20:00,5.0,0.88,1026.1133333333335,1.2661647333333335
2018-12-24 02:30:00,4.93,0.87,1026.26,1.2667608750000001
2018-12-24 02:40:00,5.153333333333333,0.9,1026.4,1.2672611999999999
2018-12-24 02:50:00,5.133333333333333,0.8966666666666666,1026.5233333333333,1.2677378333333331
2018-12-24 03:00:00,5.1,0.89,1026.67,1.2678932
2018-12-24 03:10:00,5.043333333333333,0.89,1026.82,1.2676039000000001
2018-12-24 03:20:00,4.993333333333333,0.89,1026.95,1.2675128666666666
2018-12-24 03:30:00,4.9375,0.885,1027.0974999999999,1.267009675
2018-12-24 03:40:00,4.843333333333333,0.8933333333333334,1027.2466666666667,1.2667581666666667
2018-12-24 03:50:00,4.76,0.92,1027.3733333333332,1.2670471333333333
2018-12-24 04:00:00,4.7375,0.92,1027.52,1.2669414
2018-12-24 04:10:00,4.7,0.9166666666666666,1027.6599999999999,1.2669454666666666
2018-12-24 04:20:00,4.66,0.91,1027.77,1.2672665
2018-12-24 04:30:00,4.6175,0.91,1027.91,1.2672745500000002
2018-12-24 04:40:00,4.4366666666666665,0.9133333333333334,1028.05,1.2673736
2018-12-24 04:50:00,4.156666666666667,0.92,1028.17,1.2672504666666666
2018-12-24 05:00:00,4.125,0.92,1028.315,1.2673829749999999
2018-12-24 05:10:00,4.083333333333333,0.92,1028.466666666667,1.2672718333333333
2018-12-24 05:20:00,4.04,0.92,1028.6733333333332,1.2671969333333333
2018-12-24 05:30:00,3.9750000000000005,0.92,1028.96,1.266949425
2018-12-24 05:40:00,3.9766666666666666,0.93,1029.1000000000001,1.2665549666666667
2018-12-24 05:50:00,4.0200000000000005,0.9499999999999998,1029.22,1.2667153
2018-12-24 06:00:00,3.955,0.95,1029.375,1.2668210000000002
2018-12-24 06:10:00,3.856666666666667,0.9499999999999998,1029.5766666666668,1.2668063
2018-12-24 06:20:00,3.736666666666667,0.94,1029.7666666666667,1.2665121333333333
2018-12-24 06:30:00,3.6449999999999996,0.94,1029.9175,1.2665402000000001
2018-12-24 06:40:00,4.136666666666667,0.9366666666666666,1030.07,1.2665228666666668
2018-12-24 06:50:00,5.216666666666668,0.94,1030.2,1.2663304333333334
2018-12-24 07:00:00,5.115,0.94,1030.3525,1.266905425
2018-12-24 07:10:00,5.010000000000001,0.94,1030.506666666667,1.2678128333333334
2018-12-24 07:20:00,4.920000000000001,0.94,1030.64,1.2678717333333334
2018-12-24 07:30:00,4.8125,0.94,1030.7949999999998,1.2673668999999999
2018-12-24 07:40:00,3.9033333333333338,0.94,1030.9466666666667,1.2667956333333332
2018-12-24 07:50:00,3.856666666666667,0.9466666666666667,1031.0833333333333,1.2671327333333333
2018-12-24 08:00:00,3.7575000000000003,0.95,1031.225,1.265959175
2018-12-24 08:10:00,3.66,0.9499999999999998,1031.3533333333335,1.2670848666666668
2018-12-24 08:20:00,3.5700000000000003,0.9499999999999998,1031.4633333333334,1.2677003
2018-12-24 08:30:00,3.4650000000000003,0.95,1031.5924999999997,1.266941425
2018-12-24 08:40:00,3.7900000000000005,0.9433333333333334,1031.72,1.2670417333333335
