TIME,TEMPERATURE,HUMIDITY,PRESSURE,FOREX
2018-12-24 14:00:00,-0.2305754821680807,0.9379556762956475,-0.42480979092412946,-0.22980825071393263
2018-12-24 14:10:00,-0.24027760328205824,0.9467989420188818,-0.41169885209895574,-0.22210694190569483
2018-12-24 14:20:00,-0.2496958663889497,0.9554032005604094,-0.39884066987991196,-0.2148340263109484
2018-12-24 14:30:00,-0.2588339106939751,0.9643659698745002,-0.38623819014818256,-0.2081493857984526
2018-12-24 14:40:00,-0.26830190960552747,0.9720540342194738,-0.3739090881908275,-0.2023178386153873
2018-12-24 14:50:00,-0.2785984342386153,0.9785868971861881,-0.3618309753109381,-0.19738980834046763
2018-12-24 15:00:00,-0.2891691123315384,0.9859164507585999,-0.35000090562728364,-0.19321140372331896
2018-12-24 15:10:00,-0.29955540402669634,0.993564680573288,-0.33842771678337097,-0.18908845651067951
2018-12-24 15:20:00,-0.30974517864002576,1.0012129103879792,-0.32708489584849426,-0.18477004327722646
2018-12-24 15:30:00,-0.31974935378718405,1.0091001473843773,-0.3159694969415618,-0.1797070199292043
2018-12-24 15:40:00,-0.32962251754645655,1.016190693775079,-0.30509919534967983,-0.17422585994028644
2018-12-24 15:50:00,-0.3395939398466432,1.0206521611669834,-0.29445631578560316,-0.16896030737016388
2018-12-24 16:00:00,-0.34967817750862046,1.023520247347491,-0.28403791236828635,-0.16368901404459124
2018-12-24 16:10:00,-0.3596896310662167,1.026547671649139,-0.2738528227412362,-0.15857548789314765
2018-12-24 16:20:00,-0.3695882692620226,1.0300531103142052,-0.26387217726875306,-0.15391019164223216
2018-12-24 16:30:00,-0.3793668136855999,1.033877225221551,-0.2540971543034034,-0.1492986403198599
2018-12-24 16:40:00,-0.3889803808059137,1.0378606782500353,-0.24454837501338525,-0.1446317047237212
2018-12-24 16:50:00,-0.3984277575545576,1.042322145641938,-0.23521110999286932,-0.13965387248074512
2018-12-24 17:00:00,-0.40775989280459857,1.0471022892761184,-0.22608653759428302,-0.13511651829004007
2018-12-24 17:10:00,-0.4169076416568748,1.0518824329103005,-0.21720706251070096,-0.13149944011309914
2018-12-24 17:20:00,-0.42579700693859834,1.0566625765444808,-0.2086545802392807,-0.127981173623571
2018-12-24 17:30:00,-0.43441464489729975,1.0614427201786611,-0.20051511051069898,-0.1239726758674816
2018-12-24 17:40:00,-0.4427654078066044,1.0655855113282862,-0.19269615265558082,-0.11938057120192333
2018-12-24 17:50:00,-0.45087355703463966,1.0678162450242368,-0.1850510017907583,-0.11455329057643394
2018-12-24 18:00:00,-0.45866630847702416,1.068891777341928,-0.17759085226463964,-0.11036558617923344
2018-12-24 18:10:00,-0.4660175030194975,1.0699673096596194,-0.17038758357830902,-0.10682226025591372
2018-12-24 18:20:00,-0.47293199293568533,1.0714013527498738,-0.1634612277238667,-0.1031934202339173
2018-12-24 18:30:00,-0.47951167597172084,1.0733134102035435,-0.15677584495077043,-0.09972230472652789
2018-12-24 18:40:00,-0.4868531659669438,1.0755441438994973,-0.15030492232836076,-0.09630223440809146
2018-12-24 18:50:00,-0.4970526451275242,1.0788902444434247,-0.14403373045057685,-0.09269445601134269
2018-12-24 19:00:00,-0.5089940905196211,1.0828736974719075,-0.13796226931755756,-0.08944793080336717
2018-12-24 19:10:00,-0.5205230926535596,1.0863791361369755,-0.13210762504012605,-0.08754830140466055
2018-12-24 19:20:00,-0.5316736174447174,1.0894065604386218,-0.12645624656478785,-0.08716768078377961
2018-12-24 19:30:00,-0.5424493040983133,1.0921551430282777,-0.12100872306782615,-0.0867677597672896
2018-12-24 19:40:00,-0.5526524224641126,1.0944257112545122,-0.11577801642645223,-0.08540088100991935
2018-12-24 19:50:00,-0.5629489470972008,1.0960190924659072,-0.1107511647635011,-0.08415556366410536
2018-12-24 20:00:00,-0.573603326910162,1.097134459313881,-0.10592109796399131,-0.08290358533552855
2018-12-24 20:10:00,-0.5840442066836058,1.098090488040719,-0.10128192426564668,-0.08107194915226063
2018-12-24 20:20:00,-0.5942922085804402,1.0990465167675538,-0.09681125497137327,-0.07954790654845381
2018-12-24 20:30:00,-0.6043618894215411,1.1000025454943916,-0.09250967925740793,-0.07809146103580585
2018-12-24 20:40:00,-0.6138492974275943,1.101755264826924,-0.0883895698247714,-0.07670212507670197
2018-12-24 20:50:00,-0.6221175716852676,1.1063760703399657,-0.08443737561996921,-0.07580539713002546
2018-12-24 21:00:00,-0.6294760446381793,1.1130682714278188,-0.08064249147069123,-0.07510875462313141
2018-12-24 21:10:00,-0.6363929606911797,1.1192824581522554,-0.07699843643837813,-0.07429817457413836
2018-12-24 21:20:00,-0.6423467004295393,1.125018630513272,-0.07348458935473914,-0.07264103419977132
2018-12-24 21:30:00,-0.6482434259528007,1.1302767885108722,-0.07010271774834603,-0.06981109160641875
2018-12-24 21:40:00,-0.6542323446749444,1.1348975940239123,-0.06686460514402895,-0.06541603136473638
2018-12-24 21:50:00,-0.6586139477586761,1.1388810470523982,-0.06375611131214912,-0.060986898337469814
2018-12-24 22:00:00,-0.6616866500319575,1.1424263202477485,-0.06077664707637706,-0.057901991851009096
2018-12-24 22:10:00,-0.6642110453855693,1.1458122553219614,-0.05792444490800216,-0.0534869852263629
2018-12-24 22:20:00,-0.6662053298456065,1.1489990177447469,-0.05517652693373985,-0.04925060019768076
2018-12-24 22:30:00,-0.6683573131984694,1.1520264420463964,-0.05253407150611021,-0.045707877602193796
2018-12-24 22:40:00,-0.6697135236767672,1.1553725425903238,-0.05000709462114015,-0.040320800185792816
2018-12-24 22:50:00,-0.6696650009405134,1.1588779812553884,-0.047584401930282696,-0.03398627262748649
2018-12-24 23:00:00,-0.6692501315455421,1.1621444127387464,-0.045263636728636626,-0.027908854127905502
2018-12-24 23:10:00,-0.6686169098374279,1.1655701823432432,-0.04304185313497126,-0.02281197129204946
2018-12-24 23:20:00,-0.6678648074254917,1.1689162828871706,-0.04090432174336464,-0.017951855007675106
2018-12-24 23:30:00,-0.666999889651765,1.1720632107796736,-0.038853399258717995,-0.012243575617981412
2018-12-24 23:40:00,-0.6674062675678919,1.176962858004709,-0.03688260474251824,-0.00620069915886692
2018-12-24 23:50:00,-0.670540836329897,1.1842924115771194,-0.03501845112533231,-0.000516595540929895
2018-12-25 00:00:00,-0.6748629990617178,1.1919804759220944,-0.03328509463301109,0.005336439862696581
2018-12-25 00:10:00,-0.6788309458188841,1.199509202145929,-0.031664859978401946,0.011438704498318837
2018-12-25 00:20:00,-0.6825671965104385,1.2069980938394798,-0.030151855399089787,0.014833087678341385
2018-12-25 00:30:00,-0.686112995462196,1.2142479783513223,-0.028749615952542194,0.016037421392827003
2018-12-25 00:40:00,-0.6889988852008997,1.2211791866208852,-0.027465211753601695,0.01874515049293087
2018-12-25 00:50:00,-0.690376930910512,1.2278713877087384,-0.026291572687379458,0.0233326357395203
2018-12-25 01:00:00,-0.6907068855170386,1.2344440852057383,-0.025232233811389348,0.02852884827148435
2018-12-25 01:10:00,-0.6908767150939276,1.241016782702738,-0.024297800297941468,0.03309160317220374
2018-12-25 01:20:00,-0.6909106810093053,1.2477089837905913,-0.023482380384389247,0.037085462611174916
2018-12-25 01:30:00,-0.6908002917843277,1.2544011848784447,-0.022793633362136186,0.040236448728033426
2018-12-25 01:40:00,-0.6909325162406196,1.2626867671776927,-0.022239218522169105,0.042386398224136576
2018-12-25 01:50:00,-0.6912333572053942,1.2733624212940304,-0.02180558481094721,0.04373346467154024
2018-12-25 02:00:00,-0.6913583032512481,1.2848347660160657,-0.02148801881866808,0.043495040492056124
2018-12-25 02:10:00,-0.6914056129190957,1.2963071107381008,-0.02128357466400842,0.04152027545173062
2018-12-25 02:20:00,-0.6913522379092165,1.307779455460136,-0.021179879646132695,0.037618682507487115
2018-12-25 02:30:00,-0.6912151611792989,1.318773785818753,-0.021174577060000793,0.03183000816404832
2018-12-25 02:40:00,-0.689108061357471,1.328812087450532,-0.021272969491744616,0.02537935523859735
2018-12-25 02:50:00,-0.6850855265220186,1.338372374718896,-0.02146857600275851,0.01814393128693581
2018-12-25 03:00:00,-0.6810411564552518,1.3481716691689667,-0.021760218240615005,0.011012170021998363
2018-12-25 03:10:00,-0.6768123999907202,1.357970963619039,-0.02214141526666216,0.005210411387667326
2018-12-25 03:20:00,-0.6725472514739979,1.367371912766261,-0.022593902617417852,0.001306453885952482
2018-12-25 03:30:00,-0.6687915916879422,1.3762948475500663,-0.023119447821777907,-0.0012449639491185676
2018-12-25 03:40:00,-0.665914193428083,1.3848991060915923,-0.023720407584597248,-0.0035476888436682848
2018-12-25 03:50:00,-0.6629154883275887,1.3919099834217232,-0.024387355086085822,-0.005847842586650894
2018-12-25 04:00:00,-0.6592204819618506,1.3972478104798944,-0.025125003736092354,-0.008968339319550383
2018-12-25 04:10:00,-0.655360498292849,1.4024262994169234,-0.025935710239656955,-0.012979494155661265
2018-12-25 04:20:00,-0.6513864861936505,1.4073657811722444,-0.026802977662054445,-0.016973914262943195
2018-12-25 04:30:00,-0.6472875280485979,1.4121459248064248,-0.027729162708232332,-0.020995014866554213
2018-12-25 04:40:00,-0.6427227516355074,1.4161293778349093,-0.02872369219807326,-0.025300057380715505
2018-12-25 04:50:00,-0.637016477852043,1.4177227590463028,-0.029774782606700783,-0.030482752932136092
2018-12-25 05:00:00,-0.6305217096044521,1.4177227590463042,-0.030886558167911932,-0.03651145423491083
2018-12-25 05:10:00,-0.6243083732271336,1.4185194496520002,-0.03207139158263485,-0.04233075812940972
2018-12-25 05:20:00,-0.6183885994041516,1.4204315071056715,-0.033266240993384696,-0.04729225786208082
2018-12-25 05:30:00,-0.6120478908441668,1.42214439190792,-0.03434207680405369,-0.051993954890680476
2018-12-25 05:40:00,-0.6062943073928546,1.4230605861044707,-0.035528677747440944,-0.05695216983861425
2018-12-25 05:50:00,-0.6008840223005392,1.4229012479833318,-0.03697569458808387,-0.062333707608780396
2018-12-25 06:00:00,-0.5944147284894811,1.4219452192564956,-0.038528173975359445,-0.06860329515599613
2018-12-25 06:10:00,-0.5864363775809254,1.421148528650798,-0.040179634970615725,-0.07550439018390394
2018-12-25 06:20:00,-0.5771103076729163,1.4203518380451021,-0.041935380159938314,-0.08301802747910722
2018-12-25 06:30:00,-0.5674542831583801,1.4190372985457025,-0.04379658789589355,-0.08996320261162391
2018-12-25 06:40:00,-0.5581476223448725,1.4170854065617442,-0.04576149064977082,-0.09584951916154498
2018-12-25 06:50:00,-0.5491320979488886,1.4145359966235158,-0.047823607482918154,-0.10233111244333866
2018-12-25 07:00:00,-0.5400013320543017,1.4116679104430065,-0.04998352757161873,-0.10945102654408308
2018-12-25 07:10:00,-0.5309530548113461,1.4091185005047753,-0.052247142678148735,-0.11645636930386205
2018-12-25 07:20:00,-0.5220442804351209,1.407047104929965,-0.05460149092538945,-0.12269268240839096
2018-12-25 07:30:00,-0.5132895657465021,1.4051350474762923,-0.05704657231329457,-0.1283761705100537
2018-12-25 07:40:00,-0.49969228197973886,1.4013109325689483,-0.0595929920141279,-0.1331591766254203
2018-12-25 07:50:00,-0.4811954149197331,1.3955747602079298,-0.062230144855579345,-0.1369094135151291
2018-12-25 08:00:00,-0.4628016586742668,1.389958091437765,-0.06495979836649844,-0.14160758199011392
2018-12-25 08:10:00,-0.44459714110019116,1.3848194370310227,-0.06779079019029943,-0.14735990430968146
2018-12-25 08:20:00,-0.4266194673181027,1.3800392933968424,-0.07071310433095543,-0.15410357343977657
2018-12-25 08:30:00,-0.40886499812278243,1.3760956748986433,-0.07372438408361148,-0.16185615901730982
2018-12-25 08:40:00,-0.39388117716756244,1.3723113945215832,-0.07683228873930073,-0.16984853997383653
2018-12-25 08:50:00,-0.3823182091182462,1.3676905890085402,-0.08003269406431873,-0.17766228105171353
